nombre,link-Imagen,link-Pagina
Bounty Hunter,https://es.dotabuff.com/assets/heroes/bounty-hunter.jpg,https://es.dotabuff.com/heroes/bounty-hunter
Clinkz,https://es.dotabuff.com/assets/heroes/clinkz.jpg,https://es.dotabuff.com/heroes/clinkz
Drow Ranger,https://es.dotabuff.com/assets/heroes/drow-ranger.jpg,https://es.dotabuff.com/heroes/drow-ranger
Ember Spirit,https://es.dotabuff.com/assets/heroes/ember-spirit.jpg,https://es.dotabuff.com/heroes/ember-spirit
Faceless Void,https://es.dotabuff.com/assets/heroes/faceless-void.jpg,https://es.dotabuff.com/heroes/faceless-void
Gyrocopter,https://es.dotabuff.com/assets/heroes/gyrocopter.jpg,https://es.dotabuff.com/heroes/gyrocopter
Hoodwink,https://es.dotabuff.com/assets/heroes/hoodwink.jpg,https://es.dotabuff.com/heroes/hoodwink
Juggernaut,https://es.dotabuff.com/assets/heroes/juggernaut.jpg,https://es.dotabuff.com/heroes/juggernaut
Kez,https://es.dotabuff.com/assets/heroes/kez.jpg,https://es.dotabuff.com/heroes/kez
Luna,https://es.dotabuff.com/assets/heroes/luna.jpg,https://es.dotabuff.com/heroes/luna
Medusa,https://es.dotabuff.com/assets/heroes/medusa.jpg,https://es.dotabuff.com/heroes/medusa
Meepo,https://es.dotabuff.com/assets/heroes/meepo.jpg,https://es.dotabuff.com/heroes/meepo
Monkey King,https://es.dotabuff.com/assets/heroes/monkey-king.jpg,https://es.dotabuff.com/heroes/monkey-king
Morphling,https://es.dotabuff.com/assets/heroes/morphling.jpg,https://es.dotabuff.com/heroes/morphling
Naga Siren,https://es.dotabuff.com/assets/heroes/naga-siren.jpg,https://es.dotabuff.com/heroes/naga-siren
Phantom Assassin,https://es.dotabuff.com/assets/heroes/phantom-assassin.jpg,https://es.dotabuff.com/heroes/phantom-assassin
Phantom Lancer,https://es.dotabuff.com/assets/heroes/phantom-lancer.jpg,https://es.dotabuff.com/heroes/phantom-lancer
Razor,https://es.dotabuff.com/assets/heroes/razor.jpg,https://es.dotabuff.com/heroes/razor
Riki,https://es.dotabuff.com/assets/heroes/riki.jpg,https://es.dotabuff.com/heroes/riki
Shadow Fiend,https://es.dotabuff.com/assets/heroes/shadow-fiend.jpg,https://es.dotabuff.com/heroes/shadow-fiend
Slark,https://es.dotabuff.com/assets/heroes/slark.jpg,https://es.dotabuff.com/heroes/slark
Sniper,https://es.dotabuff.com/assets/heroes/sniper.jpg,https://es.dotabuff.com/heroes/sniper
Spectre,https://es.dotabuff.com/assets/heroes/spectre.jpg,https://es.dotabuff.com/heroes/spectre
Templar Assassin,https://es.dotabuff.com/assets/heroes/templar-assassin.jpg,https://es.dotabuff.com/heroes/templar-assassin
Terrorblade,https://es.dotabuff.com/assets/heroes/terrorblade.jpg,https://es.dotabuff.com/heroes/terrorblade
Troll Warlord,https://es.dotabuff.com/assets/heroes/troll-warlord.jpg,https://es.dotabuff.com/heroes/troll-warlord
Ursa,https://es.dotabuff.com/assets/heroes/ursa.jpg,https://es.dotabuff.com/heroes/ursa
Viper,https://es.dotabuff.com/assets/heroes/viper.jpg,https://es.dotabuff.com/heroes/viper
Weaver,https://es.dotabuff.com/assets/heroes/weaver.jpg,https://es.dotabuff.com/heroes/weaver
Ancient Apparition,https://es.dotabuff.com/assets/heroes/ancient-apparition.jpg,https://es.dotabuff.com/heroes/ancient-apparition
Crystal Maiden,https://es.dotabuff.com/assets/heroes/crystal-maiden.jpg,https://es.dotabuff.com/heroes/crystal-maiden
Death Prophet,https://es.dotabuff.com/assets/heroes/death-prophet.jpg,https://es.dotabuff.com/heroes/death-prophet
Disruptor,https://es.dotabuff.com/assets/heroes/disruptor.jpg,https://es.dotabuff.com/heroes/disruptor
Enchantress,https://es.dotabuff.com/assets/heroes/enchantress.jpg,https://es.dotabuff.com/heroes/enchantress
Grimstroke,https://es.dotabuff.com/assets/heroes/grimstroke.jpg,https://es.dotabuff.com/heroes/grimstroke
Jakiro,https://es.dotabuff.com/assets/heroes/jakiro.jpg,https://es.dotabuff.com/heroes/jakiro
Keeper Of The Light,https://es.dotabuff.com/assets/heroes/keeper-of-the-light.jpg,https://es.dotabuff.com/heroes/keeper-of-the-light
Leshrac,https://es.dotabuff.com/assets/heroes/leshrac.jpg,https://es.dotabuff.com/heroes/leshrac
Lich,https://es.dotabuff.com/assets/heroes/lich.jpg,https://es.dotabuff.com/heroes/lich
Lina,https://es.dotabuff.com/assets/heroes/lina.jpg,https://es.dotabuff.com/heroes/lina
