nombre,link-Pagina,popularidad,win_rate
Io,https://es.dotabuff.com/heroes/io,91st,50.76%
Lone Druid,https://es.dotabuff.com/heroes/lone-druid,118th,51.63%
Lycan,https://es.dotabuff.com/heroes/lycan,108th,49.89%
Magnus,https://es.dotabuff.com/heroes/magnus,26th,48.35%
Marci,https://es.dotabuff.com/heroes/marci,79th,49.12%
Mirana,https://es.dotabuff.com/heroes/mirana,87th,45.50%
Nyx Assassin,https://es.dotabuff.com/heroes/nyx-assassin,30th,50.81%
Pangolier,https://es.dotabuff.com/heroes/pangolier,114th,46.52%
Phoenix,https://es.dotabuff.com/heroes/phoenix,74th,50.29%
Sand King,https://es.dotabuff.com/heroes/sand-king,77th,50.23%
Snapfire,https://es.dotabuff.com/heroes/snapfire,86th,45.77%
Techies,https://es.dotabuff.com/heroes/techies,45th,46.64%
Vengeful Spirit,https://es.dotabuff.com/heroes/vengeful-spirit,39th,50.77%
Venomancer,https://es.dotabuff.com/heroes/venomancer,34th,49.00%
Visage,https://es.dotabuff.com/heroes/visage,117th,52.15%
Void Spirit,https://es.dotabuff.com/heroes/void-spirit,93rd,51.28%
Windranger,https://es.dotabuff.com/heroes/windranger,59th,43.10%
Winter Wyvern,https://es.dotabuff.com/heroes/winter-wyvern,106th,49.90%
